type,authors,title,publication,date,url
Article,"Devin Becker, Evan Williamson, and Olivia Wikle","CollectionBuilder-CONTENTdm: Developing a Static Web 'Skin' for CONTENTdm-based Digital Collections",Code4Lib Journal 49,2020,https://journal.code4lib.org/articles/15326
Article,"Olivia Wikle, Evan Williamson, and Devin Becker","What is Static Web and What's it Doing in the Digital Humanities Classroom?","dh+lib, Special Issue: Literacies in a Digital Humanities Context",2020,https://dhandlib.org/2020/06/22/what-is-static-web-and-whats-it-doing-in-the-digital-humanities-classroom/
Article,"Evan Peter Williamson, Olivia Wikle, Devin Becker, Jylisa Doney, Marco Seiferle-Valencia, and Jessica Martinez","Using Static Web Technologies and Git-based Workflows to Re-Design and Maintain a Library Website (Quickly) with Non-Technical Staff","College & Undergraduate Libraries, vol. 27",2021,https://doi.org/10.17613/v30m-mx03
Article,"Evan Peter Williamson and Sean Butterfield","Developing Interactive and Open Source OER: Integrated Musicianship","IDEAH, Vol. 1, Iss. 1",2020,https://doi.org/10.21428/f1f23564.bc46d8c9
Article,Raffaele Viglianti,"Using Static Sites Technology for Increased Access: The Case of the Shelley-Godwin Archive",Design for Diversity Learning Toolkit,2018,https://des4div.library.northeastern.edu/shelley-godwin-archive/
Article,Alex Gil,"Design for Diversity: The Case of Ed",Design for Diversity Learning Toolkit,2019,https://des4div.library.northeastern.edu/design-for-diversity-the-case-of-ed-alex-gil/
Article,Kaitlin Newson,Tools and Workflows for Collaborating on Static Website Projects,Code4Lib Journal 38,2017,https://journal.code4lib.org/articles/12779
Article,Chris Diaz,Using Static Site Generators for Scholarly Publications and Open Educational Resources,Code4Lib Journal 42,2018,https://journal.code4lib.org/articles/13861
Article,Alex Gil and Kaiama L. Glover,The sx:archipelagos Project,,2016,https://hcommons.org/deposits/item/hc:11841/
Article,Alex Gil,"The User, the Learner and the Machines We Make",Minimal Computing,2015,https://go-dh.github.io/mincomp/thoughts/2015/05/21/user-vs-learner/
Article,Stewart Varner,"Minimal Computing in Libraries: Introduction",Minimal Computing,2017,https://go-dh.github.io/mincomp/thoughts/2017/01/15/mincomp-libraries-intro/
